"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"García F.M.; García I.M.; Vázquez F.M.","García, Felipe Macías (57205641543); García, Isabel Macías (58398380700); Vázquez, Felipe Macías (7006163466)","57205641543; 58398380700; 7006163466","Environmental and Productive Applications of Tailor-Made Technosols: Biosphere Learnings","2023","Advances in Science, Technology and Innovation","","","","219","225","6","0","10.1007/978-3-031-25986-9_36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163372694&doi=10.1007%2f978-3-031-25986-9_36&partnerID=40&md5=9396ed42b23a63ff6db555f1ae90479a","Conference paper","Final","","Scopus","2-s2.0-85163372694"
"Perron N.; Baltzer J.L.; Sonnentag O.","Perron, Nia (57222192883); Baltzer, Jennifer L. (7006116431); Sonnentag, Oliver (16310507500)","57222192883; 7006116431; 16310507500","Spatial and temporal variation in forest transpiration across a forested boreal peatland complex","2023","Hydrological Processes","37","2","e14815","","","","4","10.1002/hyp.14815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149236626&doi=10.1002%2fhyp.14815&partnerID=40&md5=b1401dbece1e44bdfdc0b062485278ac","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149236626"
"Beltrán-Marcos D.; Suárez-Seoane S.; Fernández-Guisuraga J.M.; Fernández-García V.; Marcos E.; Calvo L.","Beltrán-Marcos, David (57614797700); Suárez-Seoane, Susana (55892510400); Fernández-Guisuraga, José Manuel (56595207800); Fernández-García, Víctor (57164794000); Marcos, Elena (56255880300); Calvo, Leonor (57216042206)","57614797700; 55892510400; 56595207800; 57164794000; 56255880300; 57216042206","Relevance of UAV and sentinel-2 data fusion for estimating topsoil organic carbon after forest fire","2023","Geoderma","430","","116290","","","","21","10.1016/j.geoderma.2022.116290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143547946&doi=10.1016%2fj.geoderma.2022.116290&partnerID=40&md5=f1b894a19e66acf6192a77b0d72f1b43","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85143547946"
"Shin J.; Yu J.; Wang L.; Seo J.; Huynh H.H.; Jeong G.","Shin, Jihye (57200596119); Yu, Jaehyung (56130997000); Wang, Lei (57070565000); Seo, Jihee (57224996662); Huynh, Huy Hoa (57226688839); Jeong, Geumhee (58535219700)","57200596119; 56130997000; 57070565000; 57224996662; 57226688839; 58535219700","Spectral Indices to Assess Pollution Level in Soils: Case-Adaptive and Universal Detection Models for Multiple Heavy Metal Pollution under Laboratory Conditions","2023","IEEE Transactions on Geoscience and Remote Sensing","61","","4504516","","","","4","10.1109/TGRS.2023.3297126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167811351&doi=10.1109%2fTGRS.2023.3297126&partnerID=40&md5=139c40f0ee1ab1679667a2a0e4061cac","Article","Final","","Scopus","2-s2.0-85167811351"
"So M.R.; Yokota S.; Miura N.","So, Mony Rith (59000174000); Yokota, Shigehiro (7202276612); Miura, Naoko (56725039300)","59000174000; 7202276612; 56725039300","DATA FUSION OF DRONE AND SATELLITE IMAGERY FOR ALIEN SPECIES CLASSIFICATION ON RIVERDIKE","2023","44th Asian Conference on Remote Sensing, ACRS 2023","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191250075&partnerID=40&md5=08fa0c56feb8348aa25a80086db77bdf","Conference paper","Final","","Scopus","2-s2.0-85191250075"
"Lidberg W.; Paul S.S.; Westphal F.; Richter K.F.; Lavesson N.; Melniks R.; Ivanovs J.; Ciesielski M.; Leinonen A.; Ågren A.M.","Lidberg, William (56358066300); Paul, Siddhartho Shekhar (55634366000); Westphal, Florian (36054046400); Richter, Kai Florian (35748207000); Lavesson, Niklas (6506023710); Melniks, Raitis (57209270850); Ivanovs, Janis (57199053666); Ciesielski, Mariusz (57190034049); Leinonen, Antti (55841119300); Ågren, Anneli M. (22950221200)","56358066300; 55634366000; 36054046400; 35748207000; 6506023710; 57209270850; 57199053666; 57190034049; 55841119300; 22950221200","Mapping Drainage Ditches in Forested Landscapes Using Deep Learning and Aerial Laser Scanning","2023","Journal of Irrigation and Drainage Engineering","149","3","04022051","","","","14","10.1061/JIDEDH.IRENG-9796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141173088&doi=10.1061%2fJIDEDH.IRENG-9796&partnerID=40&md5=d4035eb7884627ab3802f6e824e4b006","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85141173088"
"Luber A.; Ramachandran V.; Jaafar W.S.W.M.; Bajaj S.; De-Miguel S.; Cardil A.; Doaemo W.; Mohan M.","Luber, A. (58299914600); Ramachandran, V. (58299426100); Jaafar, W.S.W.M. (57203780224); Bajaj, S. (57219870112); De-Miguel, S. (17343492500); Cardil, A. (55955798400); Doaemo, W. (57218826601); Mohan, M. (57210459251)","58299914600; 58299426100; 57203780224; 57219870112; 17343492500; 55955798400; 57218826601; 57210459251","UAVs for monitoring responses of regenerating forests under increasing climate change-driven droughts - A review","2023","IOP Conference Series: Earth and Environmental Science","1167","1","012030","","","","3","10.1088/1755-1315/1167/1/012030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160952409&doi=10.1088%2f1755-1315%2f1167%2f1%2f012030&partnerID=40&md5=41b05a678471b08ae64ce2242fa89803","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85160952409"
"Han C.; Liu J.; Ding Y.; Chai P.; Bian X.","Han, Chunming (56498283700); Liu, Jia (59293160200); Ding, Yixing (55457483000); Chai, Peng (58138911500); Bian, Xiaolin (49360958700)","56498283700; 59293160200; 55457483000; 58138911500; 49360958700","Recognition of Area without Understory Vegetation Based on the RGB-UAV Ultra-High Resolution Images in Red Soil Erosion Area","2023","Remote Sensing","15","5","1470","","","","2","10.3390/rs15051470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149910611&doi=10.3390%2frs15051470&partnerID=40&md5=49f39031fb090e849331d2878137ae10","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149910611"
"Mamidala H.P.; Ganguly D.; Purvaja R.; Singh G.; Das S.; Rao M.N.; Kazip Ys A.; Arumugam K.; Ramesh R.","Mamidala, Harikrishna Prasad (56946221900); Ganguly, D. (36092661800); Purvaja, R. (14122450900); Singh, Gurmeet (55470622400); Das, Subhajit (58262476500); Rao, M Nageswar (57209781849); Kazip Ys, Armoury (57999824200); Arumugam, K. (25932025400); Ramesh, R. (7201897782)","56946221900; 36092661800; 14122450900; 55470622400; 58262476500; 57209781849; 57999824200; 25932025400; 7201897782","Interspecific variations in leaf litter decomposition and nutrient release from tropical mangroves","2023","Journal of Environmental Management","328","","116902","","","","19","10.1016/j.jenvman.2022.116902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143720810&doi=10.1016%2fj.jenvman.2022.116902&partnerID=40&md5=ebb5318acad4e922a9763d7af4e6249c","Article","Final","","Scopus","2-s2.0-85143720810"
"Berberian L.A.; Lopez A.M.; Avouris D.M.; Lee C.M.; Hestir E.L.; Cavanaugh K.C.","Berberian, Lori A. (58736912200); Lopez, Amanda M. (57288115400); Avouris, Dulcinea M. (57190233026); Lee, Christine M. (56714017100); Hestir, Erin L. (57203406007); Cavanaugh, Kyle C. (36145954500)","58736912200; 57288115400; 57190233026; 56714017100; 57203406007; 36145954500","Applications for Aquatic Remote Sensing and Swat Modeling: Tracking the Wildfire Response of California's Giant Kelp Forests","2023","International Geoscience and Remote Sensing Symposium (IGARSS)","2023-July","","","4006","4009","3","0","10.1109/IGARSS52108.2023.10281608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178346181&doi=10.1109%2fIGARSS52108.2023.10281608&partnerID=40&md5=c835f4411b0515600281ea2aeefb95e2","Conference paper","Final","","Scopus","2-s2.0-85178346181"
"Romanov A.N.; Khvostov I.V.; Ryabinin I.V.; Troshkin D.N.; Romanov D.A.","Romanov, Andrey N. (56243765300); Khvostov, Ilya V. (12789015500); Ryabinin, Ivan V. (57999492300); Troshkin, Dmitry N. (6603136583); Romanov, Dmitry A. (58830163000)","56243765300; 12789015500; 57999492300; 6603136583; 58830163000","Remote Microwave Soil Drought Index Considering Dielectric Properties of Soil","2023","IEEE Transactions on Geoscience and Remote Sensing","61","","4408208","","","","0","10.1109/TGRS.2023.3314463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171528600&doi=10.1109%2fTGRS.2023.3314463&partnerID=40&md5=479c4fc990f2e13c6eb586c00bb8e49a","Article","Final","","Scopus","2-s2.0-85171528600"
"Yang X.; Young J.; Shi H.; Chapman G.; Pulsford I.; Moore C.; Gormley A.; Thackway R.","Yang, Xihua (35212633600); Young, John (58392507900); Shi, Haijing (55892820700); Chapman, Greg (23033653400); Pulsford, Ian (56409911100); Moore, Cara (7402983042); Gormley, Angela (58779657700); Thackway, Richard (56017118500)","35212633600; 58392507900; 55892820700; 23033653400; 56409911100; 7402983042; 58779657700; 56017118500","Estimating sediment delivery ratios using connectivity index and high-resolution digital elevation model at lower Snowy River area, Australia","2023","Proceedings of the International Congress on Modelling and Simulation, MODSIM","","","","1070","1075","5","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185226866&partnerID=40&md5=20b61c3e826253148d3aced8fb841ef6","Conference paper","Final","","Scopus","2-s2.0-85185226866"
"Šurda P.; Vitková J.; Zvala A.; Lichner Ľ.","Šurda, Peter (22981771800); Vitková, Justína (56951042700); Zvala, Anton (57215846812); Lichner, Ľubomír (6602470260)","22981771800; 56951042700; 57215846812; 6602470260","Analyzing fire-induced water repellency and runoff in forest soil from beech forest: A controlled laboratory experiment","2023","Acta Hydrologica Slovaca","24","2","","205","213","8","1","10.31577/ahs-2023-0024.02.0023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179321921&doi=10.31577%2fahs-2023-0024.02.0023&partnerID=40&md5=d14e1d7f66f27cc75f2270a74bd02bda","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179321921"
"Chandra Joshi R.; Ryu D.; Lane P.N.J.; Sheridan G.J.","Chandra Joshi, Rakesh (58984703700); Ryu, Dongryeol (57484743000); Lane, Patrick N.J. (7202980469); Sheridan, Gary J. (7003706805)","58984703700; 57484743000; 7202980469; 7003706805","Seasonal forecast of soil moisture over Mediterranean-climate forest catchments using a machine learning approach","2023","Journal of Hydrology","619","","129307","","","","10","10.1016/j.jhydrol.2023.129307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149435031&doi=10.1016%2fj.jhydrol.2023.129307&partnerID=40&md5=9541a46c5f22ab00e133a9d3f2b01735","Article","Final","","Scopus","2-s2.0-85149435031"
"Nahlieli A.; Svoray T.; Argaman E.","Nahlieli, Ariel (34977256100); Svoray, Tal (6602512663); Argaman, Eli (55185442200)","34977256100; 6602512663; 55185442200","Mapping areas prone to piping using random forest with key explanatory variables","2023","Geoderma","431","","116367","","","","2","10.1016/j.geoderma.2023.116367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147857840&doi=10.1016%2fj.geoderma.2023.116367&partnerID=40&md5=940411b406a8fb632d45844c8af4e2cc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85147857840"
"Terry N.; Day-Lewis F.D.; Lane J.W., Jr.; Johnson C.D.; Werkema D.","Terry, Neil (56662837800); Day-Lewis, Frederick D. (6602904159); Lane, John W. (7401532379); Johnson, Carole D. (7405670471); Werkema, Dale (6603081105)","56662837800; 6602904159; 7401532379; 7405670471; 6603081105","Field evaluation of semi-automated moisture estimation from geophysics using machine learning","2023","Vadose Zone Journal","22","2","e20246","","","","2","10.1002/vzj2.20246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147421063&doi=10.1002%2fvzj2.20246&partnerID=40&md5=e36120c530fa044e922ce1f439336e6f","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147421063"
"Ore G.; Zanetti R.; Goes J.A.; Santos A.; Camargo M.; Hernandez-Figueroa H.E.; Ukan D.; Oliveira L.P.","Ore, Gian (57215291483); Zanetti, Ronald (7004494607); Goes, Juliana A. (57215281565); Santos, Alexandre (59454730000); Camargo, Mariane (57201289390); Hernandez-Figueroa, Hugo E. (7004578182); Ukan, Daniele (57193131085); Oliveira, Luciano P. (34267744300)","57215291483; 7004494607; 57215281565; 59454730000; 57201289390; 7004578182; 57193131085; 34267744300","Drone Borne SAR Tomography as a Powerful Subsurface Survey Tool","2023","APSAR 2023 - 2023 8th Asia-Pacific Conference on Synthetic Aperture Radar","","","","","","","2","10.1109/APSAR58496.2023.10389061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184994009&doi=10.1109%2fAPSAR58496.2023.10389061&partnerID=40&md5=6ebe81fd501d73c2bfc1a7c2c92640ee","Conference paper","Final","","Scopus","2-s2.0-85184994009"
"Zhao Q.; Wang A.; Yu Z.; Yu J.; Liu Y.; Zhang G.; Liu G.; Wang P.; Ding S.","Zhao, Qinghe (57215582541); Wang, An (57397437200); Yu, Zaihui (57868814800); Yu, Jinhai (57471931700); Liu, Yi (57471990100); Zhang, Guiju (57929158200); Liu, Guoshun (57868814900); Wang, Peng (57223980595); Ding, Shengyan (7401542684)","57215582541; 57397437200; 57868814800; 57471931700; 57471990100; 57929158200; 57868814900; 57223980595; 7401542684","Factors contributing to rill erosion of forest roads in a mountainous watershed","2023","Journal of Environmental Management","326","","116829","","","","11","10.1016/j.jenvman.2022.116829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142207002&doi=10.1016%2fj.jenvman.2022.116829&partnerID=40&md5=52acdc44e26927beca169d0e567d1f9a","Article","Final","","Scopus","2-s2.0-85142207002"
"Chen L.X.; Ming G.L.; Le Z.L.; Long C.K.","Chen, Liu Xuan (58743180500); Ming, Gao Li (57043842500); Le, Zhang Le (58743495600); Long, Chen Ke (58743602000)","58743180500; 57043842500; 58743495600; 58743602000","Simulation of Evapotranspiration of Marsh Meadow in Qinghai Lake Basin based on Machine Learning Model","2023","Proceedings of SPIE - The International Society for Optical Engineering","12815","","128151Y","","","","0","10.1117/12.3010219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178502688&doi=10.1117%2f12.3010219&partnerID=40&md5=f8ca6a024018f8bac55b6bad31855405","Conference paper","Final","","Scopus","2-s2.0-85178502688"
"Azadnia R.; Rajabipour A.; Jamshidi B.; Omid M.","Azadnia, Rahim (57215595562); Rajabipour, Ali (7801332304); Jamshidi, Bahareh (53979866600); Omid, Mahmoud (57211027674)","57215595562; 7801332304; 53979866600; 57211027674","New approach for rapid estimation of leaf nitrogen, phosphorus, and potassium contents in apple-trees using Vis/NIR spectroscopy based on wavelength selection coupled with machine learning","2023","Computers and Electronics in Agriculture","207","","107746","","","","52","10.1016/j.compag.2023.107746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150173284&doi=10.1016%2fj.compag.2023.107746&partnerID=40&md5=795834ab99b235e19a5832a70fd0d584","Article","Final","","Scopus","2-s2.0-85150173284"
"Yu T.; GuliJiapaer; Bao A.; Zhang J.; Tu H.; Chen B.; De Maeyer P.; Van de Voorde T.","Yu, Tao (59352326400); Guli·Jiapaer (57214095389); Bao, Anming (8924236800); Zhang, Junfeng (57471717500); Tu, Haiyang (58018470500); Chen, Bojian (58017146800); De Maeyer, Philippe (8973773500); Van de Voorde, Tim (23026266400)","59352326400; 57214095389; 8924236800; 57471717500; 58018470500; 58017146800; 8973773500; 23026266400","Evaluating surface soil moisture characteristics and the performance of remote sensing and analytical products in Central Asia","2023","Journal of Hydrology","617","","128921","","","","19","10.1016/j.jhydrol.2022.128921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144010943&doi=10.1016%2fj.jhydrol.2022.128921&partnerID=40&md5=4d5bc44c44efc5b893e236689c61cf7c","Article","Final","","Scopus","2-s2.0-85144010943"
"Sharma C.; Dey A.; Khatun H.; Das J.; Sarma U.","Sharma, Chayanika (57220663323); Dey, Anandita (57772725100); Khatun, Hiramoni (57489056500); Das, Jyotshna (57551906900); Sarma, Utpal (56149796500)","57220663323; 57772725100; 57489056500; 57551906900; 56149796500","Design and Development of a Gas Sensor Array to Detect Salinity Stress in Khasi Mandarin Orange Plants","2023","IEEE Transactions on Instrumentation and Measurement","72","","2006409","","","","8","10.1109/TIM.2023.3300476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166780247&doi=10.1109%2fTIM.2023.3300476&partnerID=40&md5=20ee50b013d2c1e41c4f1d90ba318637","Article","Final","","Scopus","2-s2.0-85166780247"
"Shvetsov E.G.; Golyukov A.S.; Kharuk V.I.","Shvetsov, E.G. (55081355500); Golyukov, A.S. (57004921500); Kharuk, V.I. (7003630909)","55081355500; 57004921500; 7003630909","Long-Term Dynamics of Forest Fires in Southern Siberia","2023","Contemporary Problems of Ecology","16","2","","205","216","11","5","10.1134/S1995425523020154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154028474&doi=10.1134%2fS1995425523020154&partnerID=40&md5=06a692865491b803ec27d4d57d237cd8","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85154028474"
"Li X.; Yang J.; Wang J.; Huang F.; Fang H.; Han G.; Xiao Q.; Li W.","Li, Xiaohui (57221400238); Yang, Jingsong (34876117800); Wang, Jiuke (57202423458); Huang, Feixiong (57208228228); Fang, He (56477919400); Han, Guoqi (7202923262); Xiao, Qingmei (9241279000); Li, Weiqiang (35770867100)","57221400238; 34876117800; 57202423458; 57208228228; 56477919400; 7202923262; 9241279000; 35770867100","Tropical Cyclone Winds Retrieval Algorithm for the Cyclone Global Navigation Satellite System Mission","2023","IEEE Geoscience and Remote Sensing Letters","20","","4501105","","","","1","10.1109/LGRS.2023.3318187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173062338&doi=10.1109%2fLGRS.2023.3318187&partnerID=40&md5=59d156fdf4d04dc38e462e97262a2563","Article","Final","","Scopus","2-s2.0-85173062338"
"Ortenzi S.; Cencetti C.; Marchesini I.; Stelluti M.; Di Matteo L.","Ortenzi, Sofia (57221233354); Cencetti, Corrado (6507344624); Marchesini, Ivan (56396690100); Stelluti, Marco (14322731800); Di Matteo, Lucio (8526840500)","57221233354; 6507344624; 56396690100; 14322731800; 8526840500","PERFORMANCE OF RAINFALL AND SOIL MOISTURE SATELLITE PRODUCTS ON A SMALL CATCHMENT IN CENTRAL ITALY","2023","Italian Journal of Engineering Geology and Environment","","Special Issue 1","","99","111","12","1","10.4408/IJEGE.2023-01.S-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164597762&doi=10.4408%2fIJEGE.2023-01.S-13&partnerID=40&md5=e18329d8f5352b5b513fdbf20342ca6a","Article","Final","","Scopus","2-s2.0-85164597762"
"Chang Q.; He H.; Ren X.; Zhang L.; Feng L.; Lv Y.; Zhang M.; Xu Q.; Liu W.; Zhang Y.; Wang T.","Chang, Qingqing (57217782023); He, Honglin (57209050647); Ren, Xiaoli (55362597000); Zhang, Li (52564720500); Feng, Lili (57031077600); Lv, Yan (55204223700); Zhang, Mengyu (57220043599); Xu, Qian (57217210733); Liu, Weihua (57217182797); Zhang, Yonghong (57222641036); Wang, Tianxiang (58620136300)","57217782023; 57209050647; 55362597000; 52564720500; 57031077600; 55204223700; 57220043599; 57217210733; 57217182797; 57222641036; 58620136300","Soil moisture drives the spatiotemporal patterns of asymmetry in vegetation productivity responses across China","2023","Science of the Total Environment","855","","158819","","","","15","10.1016/j.scitotenv.2022.158819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138488927&doi=10.1016%2fj.scitotenv.2022.158819&partnerID=40&md5=9aef16c44b0474f40bd193b0dc4215da","Article","Final","","Scopus","2-s2.0-85138488927"
"Robinson M.; Nielsen S.E.; Eaton B.; Paszkowski C.","Robinson, Matthew (58132406800); Nielsen, Scott E. (7402454506); Eaton, Brian (7102645980); Paszkowski, Cynthia (7003409468)","58132406800; 7402454506; 7102645980; 7003409468","Effect of variable retention forestry on wood frogs (Lithobates sylvaticus) in early successional boreal mixedwood forests","2023","Canadian Journal of Zoology","101","3","","172","188","16","0","10.1139/cjz-2022-0062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149537512&doi=10.1139%2fcjz-2022-0062&partnerID=40&md5=03afd282ffd95cc093c40045bccf929b","Article","Final","","Scopus","2-s2.0-85149537512"
"Aires U.R.V.; Silva D.D.D.; Fernandes Filho E.I.; Rodrigues L.N.; Uliana E.M.; Amorim R.S.S.; Ribeiro C.B.D.M.; Campos J.A.","Aires, Uilson Ricardo Venâncio (57192655683); Silva, Demetrius David da (14819053000); Fernandes Filho, Elpídio Inácio (57221117304); Rodrigues, Lineu Neiva (55665339900); Uliana, Eduardo Morgan (55969389300); Amorim, Ricardo Santos Silva (34067466200); Ribeiro, Celso Bandeira de Melo (37006267400); Campos, Jasmine Alves (57196087755)","57192655683; 14819053000; 57221117304; 55665339900; 55969389300; 34067466200; 37006267400; 57196087755","Machine learning-based modeling of surface sediment concentration in Doce river basin","2023","Journal of Hydrology","619","","129320","","","","11","10.1016/j.jhydrol.2023.129320","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149317336&doi=10.1016%2fj.jhydrol.2023.129320&partnerID=40&md5=0206085d6145b313b9d056faba394f52","Article","Final","","Scopus","2-s2.0-85149317336"
"Dindaroglu T.; Babur E.; Laaribya S.; Mokroš M.; Seleiman M.","Dindaroglu, Turgay (56287271800); Babur, Emre (57189995009); Laaribya, Said (57202822550); Mokroš, Martin (57191198155); Seleiman, Mahmoud (55331521800)","56287271800; 57189995009; 57202822550; 57191198155; 55331521800","The Effects of Clear-Cutting on Ground Thermal Regimes After a Wildfire Using Hand-Held Thermal Imaging Camera in a Semi-arid Forest Ecosystems","2023","International Journal of Environmental Research","17","1","14","","","","2","10.1007/s41742-022-00504-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145610353&doi=10.1007%2fs41742-022-00504-8&partnerID=40&md5=0441025fbc758df8f7b9760fa85bcc35","Article","Final","","Scopus","2-s2.0-85145610353"
"Eltazarov S.; Bobojonov I.; Kuhn L.; Glauben T.","Eltazarov, Sarvarbek (57250665000); Bobojonov, Ihtiyor (26323550900); Kuhn, Lena (56950055100); Glauben, Thomas (57203537824)","57250665000; 26323550900; 56950055100; 57203537824","Improving risk reduction potential of weather index insurance by spatially downscaling gridded climate data - a machine learning approach","2023","Big Earth Data","7","4","","937","960","23","3","10.1080/20964471.2023.2196830","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152381339&doi=10.1080%2f20964471.2023.2196830&partnerID=40&md5=56b7194d17c39c896473fe1be4bc78c3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85152381339"
"Achasov A.B.; Achasova A.O.; Siedov A.O.","Achasov, A.B. (6508013112); Achasova, A.O. (57209536867); Siedov, A.O. (58019852500)","6508013112; 57209536867; 58019852500","Estimation of carbon sequestration potential by soils of the Forest-Steppe of Ukraine based on the use of geoinformation technologies and remote sensing data","2023","17th International Conference Monitoring of Geological Processes and Ecological Condition of the Environment, Monitoring 2023","","","","","","","0","10.3997/2214-4609.2023520004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193579810&doi=10.3997%2f2214-4609.2023520004&partnerID=40&md5=db026c34620140304819b273e5a3a176","Conference paper","Final","","Scopus","2-s2.0-85193579810"
"Danneyrolles V.; Boucher Y.; Fournier R.; Valeria O.","Danneyrolles, Victor (56840805500); Boucher, Yan (36879181400); Fournier, Richard (7103024611); Valeria, Osvaldo (59546840000)","56840805500; 36879181400; 7103024611; 59546840000","Positive effects of projected climate change on post-disturbance forest regrowth rates in northeastern North American boreal forests","2023","Environmental Research Letters","18","2","024041","","","","5","10.1088/1748-9326/acb72a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147967141&doi=10.1088%2f1748-9326%2facb72a&partnerID=40&md5=0f6a6e50583f03c33a3fa744eec8aa73","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147967141"
"Tan J.; Ding J.; Han L.; Ge X.; Wang X.; Wang J.; Wang R.; Qin S.; Zhang Z.; Li Y.","Tan, Jiao (57195073683); Ding, Jianli (13610395400); Han, Lijing (57218992667); Ge, Xiangyu (57204780313); Wang, Xiao (57189703893); Wang, Jiao (57202341481); Wang, Ruimei (58101046500); Qin, Shaofeng (57950922400); Zhang, Zhe (56367465100); Li, Yongkang (57224115683)","57195073683; 13610395400; 57218992667; 57204780313; 57189703893; 57202341481; 58101046500; 57950922400; 56367465100; 57224115683","Exploring PlanetScope Satellite Capabilities for Soil Salinity Estimation and Mapping in Arid Regions Oases","2023","Remote Sensing","15","4","1066","","","","16","10.3390/rs15041066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149231300&doi=10.3390%2frs15041066&partnerID=40&md5=0fe8649e846098f73dcfeac842a3afab","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149231300"
"Zhang Q.; Homayouni S.; Zhao P.; Zhou M.","Zhang, Qiyue (57287517700); Homayouni, Saeid (24070293900); Zhao, Pengwu (57191160657); Zhou, Mei (55320825500)","57287517700; 24070293900; 57191160657; 55320825500","Burned vegetation recovery trajectory and its driving factors using satellite remote-sensing datasets in the Great Xing'An forest region of Inner Mongolia","2023","International Journal of Wildland Fire","32","2","","244","261","17","6","10.1071/WF21167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164202741&doi=10.1071%2fWF21167&partnerID=40&md5=340a5e8500f262c12150d897325b6c8f","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85164202741"
"Salazar-Neira J.C.; Mialon A.; Richaume P.; Mermoz S.; Kerr Y.H.; Bouvet A.; Le Toan T.; Boitard S.; Rodriguez-Fernandez N.J.","Salazar-Neira, Julio Cesar (57938021700); Mialon, Arnaud (8932268900); Richaume, Philippe (6505770360); Mermoz, Stephane (14031923400); Kerr, Yann H. (26643081200); Bouvet, Alexandre (14027797200); Le Toan, Thuy (55664597400); Boitard, Simon (58337877800); Rodriguez-Fernandez, Nemesio J. (6701639182)","57938021700; 8932268900; 6505770360; 14031923400; 26643081200; 14027797200; 55664597400; 58337877800; 6701639182","Above-Ground Biomass Estimation Based on Multi-Angular L-Band Measurements of Brightness Temperatures","2023","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","16","","","5813","5827","14","2","10.1109/JSTARS.2023.3285288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162620039&doi=10.1109%2fJSTARS.2023.3285288&partnerID=40&md5=73e671d2ab832e4d21e1175d7951b64e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85162620039"
"Pirotti F.; Adedipe O.; Leblon B.","Pirotti, Francesco (57198996571); Adedipe, Opeyemi (58100682800); Leblon, Brigitte (6701736763)","57198996571; 58100682800; 6701736763","Sentinel-1 Response to Canopy Moisture in Mediterranean Forests before and after Fire Events","2023","Remote Sensing","15","3","823","","","","6","10.3390/rs15030823","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147900701&doi=10.3390%2frs15030823&partnerID=40&md5=85910e131218a00df744860ef44a6982","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147900701"
